2012Smp_No,Mgt_Strip,Strip_No,Land_Class,2001Smp_No,12CC_0_6in,12C_0_6in,12N_0_6in,12SOC_0_6,12CC_6_12,12C_6_12in,12N_6_12in,12SOC_6_12,12CC_0_1ft,12C_0_1ft,12N_0_1ft,12SOC_0_1,01CC_0_1ft,01CC_1_2ft,01CC_2_3ft,01CC_0_3ft,CC_diff,CC_n3diff,UTME_2012,UTMN_2012,ELEV_2001,ELEV_2012,ELEVDIFF,ChgClass_5,SLOPE,ASPECT,COSASP,POTSOLRAD,CURV,LNSCASINK,WETSINK,LNSCAFILL,WETFILL,SOILUNIT,UNITNAME
5,East,12,SideNorthface,24,5.12344,1.02,0.05,0.404941176,7.52602,1.09,0.03,0.186516206,6.32473,1.055,0.04,0.295728691,7.556988,9.590205,6.839876,7.995689667,-1.232258,-0.154115286,513887.942,4494821.639,1575.224853,1575.211,-0.013853,Unchanged,5.489999,64.489997,0.4307,0.9804,-0.000799,5.3,8.21,5.3,8.21,2,Wagonwheel loam 2 to 5 percent slope
6,East,12,SideNorthface,22,10.4509,1.81,0.06,0.555390156,11.80888,1.75,0.04,0.332367347,11.12989,1.78,0.05,0.443878752,13.04804,7.387652,7.81456,9.416750667,-1.91815,-0.203695528,513913.696,4494915.943,1571.296386,1571.353,0.056614,Deposited,11.21,57.93,0.531,0.9512,-0.007199,4.659999,6.849999,4.659999,6.849999,2,Wagonwheel loam 2 to 5 percent slope
7,East,12,SideNorthface,20,2.40748,0.76,0.06,0.470986795,6.2725,1.26,0.06,0.5069988,4.33999,1.01,0.06,0.488992797,1.45962,12.954585,6.160244,6.858149667,2.88037,0.419992292,513938.527,4495009.965,1568.029418,1568.09,0.060582,Deposited,3.38,28.479999,0.879,0.9742,0.0012,2.74,6.13,2.74,6.13,2,Wagonwheel loam 2 to 5 percent slope
8,East,12,Toe,18,1.25842,0.74,0.068,0.588929172,1.0495,0.6,0.06,0.474009604,1.15396,0.67,0.064,0.531469388,0,0.3976,3.51563,1.30441,1.15396,0.884660498,513964.478,4495111.609,1564.581542,1564.573,-0.008542,Unchanged,4.55,35.900001,0.81,0.967999,0.002,7.659999,10.75,7.659999,10.75,2,Wagonwheel loam 2 to 5 percent slope
9,East,12,Toe,16,2.0941,0.7,0.06,0.448607443,0.94504,0.49,0.05,0.37654982,1.51957,0.595,0.055,0.412578631,0.899924,5.897228,6.839876,4.545676,0.619646,0.136315479,513989.564,4495207.483,1560.005004,1559.995,-0.010004,Unchanged,4.579999,353.320007,0.9932,0.959999,0.021199,3.99,7.07,3.99,7.07,5,Kim sandy loam 5 to 9 percent slope
10,East,12,SideSouthface,14,4.07884,0.99,0.06,0.500343337,8.46616,1.37,0.04,0.353654262,6.2725,1.18,0.05,0.4269988,15.803776,18.25898,21.45899,18.50724867,-9.531276,-0.51500232,514012.762,4495304.528,1562.130493,1561.96,-0.170493,Eroded,1.47,137.580001,-0.7382,1.009299,-0.006399,1.61,5.829999,1.61,5.829999,5,Kim sandy loam 5 to 9 percent slope
11,East,12,SideSouthface,12,1.25842,0.64,0.05,0.488929172,0.84058,0.47,0.05,0.369090036,1.0495,0.555,0.05,0.429009604,1.0858,2.5366,12.954585,5.525661667,-0.0363,-0.006569349,513975.759,4495292.775,1563.108764,1563.197,0.088236,Deposited,2.519999,96.61,-0.115099,1.002699,0.004399,4.07,7.75,4.07,7.75,5,Kim sandy loam 5 to 9 percent slope
12,East,12,Toe,10,1.5718,0.64,0.05,0.451308523,1.0495,0.58,0.05,0.454009604,1.31065,0.61,0.05,0.452659064,1.513628,0.198548,0,0.570725333,-0.202978,-0.355649186,513948.684,4495193.75,1561.217163,1561.016,-0.201163,Eroded,2.319999,74.440002,0.2682,0.994799,0.0272,11.329999,15.1,11.56,15.319999,5,Kim sandy loam 5 to 9 percent slope
13,East,12,Toe,8,0.94504,0.67,0.07,0.55654982,0.63166,0.46,0.06,0.384170468,0.78835,0.565,0.065,0.470360144,0,0,12.99866,4.332886667,0.78835,0.181945677,513925.175,4495109.487,1565.588012,1565.693,0.104988,Deposited,1.74,43.740001,0.7225,0.989199,0.001599,6.389999,10.439999,6.389999,10.439999,2,Wagonwheel loam 2 to 5 percent slope
14,East,12,SideNorthface,6,1.46734,0.78,0.07,0.603848739,4.28776,1.11,0.08,0.595262905,2.87755,0.945,0.075,0.599555822,2.268287,10.0231,8.84014,7.043842333,0.609263,0.086495832,513897.496,4495014.329,1568.618286,1568.763,0.144714,Deposited,4.3,50.310001,0.638599,0.976499,0.004399,5.119999,8.27,5.119999,8.27,2,Wagonwheel loam 2 to 5 percent slope
15,East,12,SideNorthface,4,8.46616,1.66,0.06,0.643654262,15.6739,2.46,0.06,0.578379352,12.07003,2.06,0.06,0.611016807,12.580765,12.935328,8.811934,11.44267567,-0.510735,-0.044634228,513870.546,4494920.731,1572.5708,1572.73,0.1592,Deposited,5.3,39.319999,0.773599,0.9645,0.0024,5.059999,8,5.059999,8,2,Wagonwheel loam 2 to 5 percent slope
16,East,12,SideNorthface,2,2.30302,0.67,0.06,0.393527011,0.63166,0.59,0.08,0.514170468,1.46734,0.63,0.07,0.453848739,0.812252,0.057795,8.5622,3.144082333,0.655088,0.208355867,513841.455,4494818.942,1577.233154,1577.345,0.111846,Deposited,4.639999,85.239997,0.082999,0.9975,-0.002,4.199999,7.269999,4.199999,7.269999,1,Wagonwheel loam 0 to 2 percent slope
17,West,11,SideNorthface,26,1.5718,0.8,0.08,0.611308523,0.5272,0.58,0.08,0.516710684,1.0495,0.69,0.08,0.564009604,0.057795,3.14181,8.363739,3.854448,0.991705,0.257288463,513776.652,4494780.941,1579.505981,1579.593,0.087019,Deposited,1.929999,72.839996,0.294999,0.995199,-0.0012,5.449999,9.39,5.449999,9.39,1,Wagonwheel loam 0 to 2 percent slope
18,West,11,SideNorthface,28,6.89926,1.29,0.06,0.461757503,8.57062,1.29,0.04,0.261114046,7.73494,1.29,0.05,0.361435774,9.12293,4.233208,6.660598,6.672245333,-1.38799,-0.208024425,513803.913,4494876.832,1577.760375,1577.832,0.071625,Deposited,6.69,57.549999,0.536599,0.9699,0.000399,5.059999,7.769999,5.059999,7.769999,2,Wagonwheel loam 2 to 5 percent slope
19,West,11,SideNorthface,30,2.51194,0.77,0.07,0.468446579,0.73612,0.6,0.08,0.511630252,1.62403,0.685,0.075,0.490038415,0,11.73967,8.543017,6.760895667,1.62403,0.240209298,513831.374,4494973.147,1572.265747,1572.385,0.119253,Deposited,4.429999,38.650001,0.781,0.970099,-0.000799,5.05,8.17,5.05,8.17,2,Wagonwheel loam 2 to 5 percent slope
20,West,11,Toe,32,0.94504,0.72,0.08,0.60654982,6.37696,1.36,0.08,0.594458583,3.661,1.04,0.08,0.600504202,7.81456,13.266408,5.01091,8.697292667,-4.15356,-0.477569303,513859.565,4495071.903,1568.851074,1568.887,0.035926,Unchanged,4.19,57.279998,0.540499,0.980799,0.002,5.659999,8.829999,5.659999,8.829999,2,Wagonwheel loam 2 to 5 percent slope
21,West,11,Toe,34,5.54128,1.19,0.07,0.524780312,8.3617,1.34,0.05,0.336194478,6.95149,1.265,0.06,0.430487395,6.212403,4.07636,9.667124,6.651962333,0.739087,0.111108116,513886.789,4495166.695,1565.888061,1566.024,0.135939,Deposited,5.92,42.150001,0.7414,0.9621,-0.000799,4.909999,7.739999,4.909999,7.739999,2,Wagonwheel loam 2 to 5 percent slope
22,West,11,SideSouthface,36,6.2725,1.34,0.07,0.5869988,10.9732,1.75,0.05,0.432689076,8.62285,1.545,0.06,0.509843938,11.590743,6.391681,3.523233,7.168552333,-2.967893,-0.41401567,513910.824,4495253.653,1565.128906,1565.251,0.122094,Deposited,3.25,130.740005,-0.652599,1.0182,-0.0052,2,5.429999,2,5.429999,5,Kim sandy loam 5 to 9 percent slope
23,West,11,SideSouthface,38,2.19856,0.79,0.07,0.526067227,0.84058,0.52,0.07,0.419090036,1.51957,0.655,0.07,0.472578631,1.192619,0.33816,0.244705,0.591828,0.326951,0.552442602,513938.107,4495347.88,1564.894409,1564.989,0.094591,Deposited,4.739999,112.650001,-0.3851,1.0161,-0.004,4.199999,7.25,4.199999,7.25,4,Kim sandy loam 2 to 5 percent slope
24,West,11,SideNorthface,40,3.03424,1,0.08,0.635745498,7.42156,1.41,0.07,0.519056423,5.2279,1.205,0.075,0.57740096,2.300715,13.383523,8.722295,8.135511,2.927185,0.359803459,513968.685,4495447.359,1562.713745,1562.813,0.099255,Deposited,2.809999,75.470001,0.2509,0.994199,0.002,4.4,7.969999,4.4,7.969999,4,Kim sandy loam 2 to 5 percent slope
26,West,11,SideNorthface,44,1.67626,0.76,0.07,0.558768307,9.61522,1.73,0.06,0.575711885,5.64574,1.245,0.065,0.567240096,0.385868,13.473162,7.44074,7.099923333,5.259872,0.740835042,513927.503,4495478.814,1563.80664,1563.858,0.05136,Deposited,2.339999,67.150001,0.3883,0.992299,0.004,5.349999,9.1,5.349999,9.1,4,Kim sandy loam 2 to 5 percent slope
27,West,11,SideSouthface,46,2.72086,0.99,0.08,0.663366146,8.77954,1.51,0.06,0.456033613,5.7502,1.25,0.07,0.55969988,2.089009,8.005183,14.54883,8.214340667,3.661191,0.445707227,513901.504,4495382.267,1566.086914,1566.188,0.101086,Deposited,4.03,138.830001,-0.752799,1.025799,-0.000399,3.009999,6.23,3.009999,6.23,4,Kim sandy loam 2 to 5 percent slope
28,West,11,SideSouthface,48,8.15278,1.61,0.06,0.63127491,8.98846,1.31,0.03,0.230953181,8.57062,1.46,0.045,0.431114046,12.576772,8.453378,4.26327,8.43114,-4.006152,-0.475161366,513872.166,4495285.345,1566.556884,1566.592,0.035116,Unchanged,3.15,148.830001,-0.855599,1.022799,-0.003199,2.24,5.699999,2.24,5.699999,4,Kim sandy loam 2 to 5 percent slope
29,West,11,Toe,50,0.42274,0.71,0.06,0.6592509,0.63166,0.57,0.05,0.494170468,0.5272,0.64,0.055,0.576710684,1.013341,0.565146,0.385868,0.654785,-0.486141,-0.742443703,513852.405,4495217.891,1563.593627,1563.303,-0.290627,Eroded,2.39,143.729995,-0.8062,1.016399,0.0196,11.229999,14.96,11.479999,15.21,5,Kim sandy loam 5 to 9 percent slope
30,West,11,Toe,52,0.94504,0.68,0.06,0.56654982,3.97438,0.94,0.05,0.462883553,2.45971,0.81,0.055,0.514716687,3.254316,11.590743,8.184461,7.676506667,-0.794606,-0.103511406,513823.386,4495118.893,1568.960571,1568.968,0.007429,Unchanged,2.88,18.379999,0.949,0.976199,0.0024,6.38,9.93,6.38,9.93,2,Wagonwheel loam 2 to 5 percent slope
31,West,11,SideNorthface,54,3.45208,1.08,0.08,0.665584634,7.94386,1.41,0.06,0.456355342,5.69797,1.245,0.07,0.560969988,5.949516,12.845689,11.646215,10.14714,-0.251546,-0.024789842,513795.672,4495022.591,1571.8385,1572.012,0.1735,Deposited,4.03,49.580001,0.6484,0.977599,0.003199,4.619999,7.829999,4.619999,7.829999,2,Wagonwheel loam 2 to 5 percent slope
32,West,11,SideNorthface,56,7.00372,1.16,0.04,0.319217287,7.8394,1.06,0.03,0.118895558,7.42156,1.11,0.035,0.219056423,7.825905,8.722295,9.349768,8.632656,-0.404345,-0.046839003,513768.534,4494926.387,1577.29602,1577.41,0.11398,Deposited,7.639999,47.25,0.678799,0.9556,-0.002,5.079999,7.659999,5.079999,7.659999,2,Wagonwheel loam 2 to 5 percent slope
33,West,11,SideNorthface,58,3.661,1.09,0.08,0.650504202,2.51194,0.77,0.07,0.468446579,3.08647,0.93,0.075,0.55947539,0.923702,4.32354,7.736266,4.327836,2.162768,0.499734278,513741.085,4494831.161,1580.111938,1580.24,0.128062,Deposited,2.779999,82.5,0.1305,0.9972,0.003599,5.09,8.67,5.079999,8.659999,1,Wagonwheel loam 0 to 2 percent slope
34,East,10,SideNorthface,60,4.60114,1.1,0.06,0.547642257,8.3617,1.28,0.05,0.276194478,6.48142,1.19,0.055,0.411918367,10.280828,8.005183,9.403295,9.229768667,-3.799408,-0.411647154,513647.772,4494775.609,1583.800415,1583.859,0.058585,Deposited,4.21,68.339996,0.3691,0.9871,0.0012,3.38,6.55,3.38,6.55,2,Wagonwheel loam 2 to 5 percent slope
35,East,10,SideNorthface,61,7.10818,1.36,0.07,0.506677071,9.51076,1.43,0.03,0.288252101,8.30947,1.395,0.05,0.397464586,6.6861,7.44074,4.4617,6.19618,1.62337,0.261995294,513670.446,4494874.909,1582.387817,1582.558,0.170183,Deposited,4.19,72.61,0.2989,0.989799,-0.0012,4,7.179999,4,7.179999,2,Wagonwheel loam 2 to 5 percent slope
36,East,10,SideNorthface,62,2.40748,1.4,0.06,1.110986795,7.3171,1.05,0.03,0.171596639,4.86229,1.225,0.045,0.641291717,7.8992,6.686276,7.908015,7.497830333,-3.03691,-0.405038506,513684.358,4494936.272,1581.693237,1581.697,0.003763,Unchanged,6.369999,67.419998,0.384,0.980099,-0.003199,2.89,5.65,2.89,5.65,2,Wagonwheel loam 2 to 5 percent slope
37,East,10,SideNorthface,63,9.30184,1.77,0.07,0.653332533,10.55536,1.69,0.04,0.42284994,9.9286,1.73,0.055,0.538091236,10.6799,8.901573,9.05342,9.544964333,-0.7513,-0.078711661,513704.825,4495027.241,1575.749633,1575.7,-0.049633,Unchanged,7.65,44.630001,0.7117,0.953199,0.001599,4.23,6.8,4.23,6.8,3,Colby loam 5 to 9 percent slope
38,East,10,Toe,64,4.39222,1.01,0.06,0.482722689,8.15278,1.38,0.04,0.40127491,6.2725,1.195,0.05,0.4419988,10.24439,10.694353,8.264372,9.734371667,-3.97189,-0.408027363,513728.299,4495130.097,1570.249267,1570.377,0.127733,Deposited,3.579999,35.36,0.8155,0.974699,0.001599,5.429999,8.76,5.429999,8.76,2,Wagonwheel loam 2 to 5 percent slope
39,East,10,Toe,65,6.8848,1.38,0.06,0.553493397,7.784,1.25,0.04,0.315546218,7.3344,1.315,0.05,0.434519808,7.646627,4.63709,4.582148,5.621955,-0.312227,-0.055537086,513746.981,4495211.417,1567.722167,1567.891,0.168833,Deposited,6.619999,32.159999,0.846599,0.950999,-0.003199,4.75,7.46,4.76,7.48,5,Kim sandy loam 5 to 9 percent slope
40,East,10,Toe,66,2.3888,0.9,0.07,0.613229292,2.5012,0.69,0.05,0.389735894,2.445,0.795,0.06,0.501482593,2.76799,0,0.461564,1.076518,-0.32299,-0.300032141,513760.549,4495270.03,1566.811157,1566.812,0.000843,Unchanged,1.86,98.93,-0.1552,1.002599,0.0076,10.989999,14.979999,11.289999,15.27,5,Kim sandy loam 5 to 9 percent slope
41,East,10,SideSouthface,67,0.9276,0.79,0.08,0.678643457,0.2532,0.62,0.06,0.589603842,0.5904,0.705,0.07,0.634123649,0.15125,3.702511,7.0335,3.629087,0.43915,0.121008397,513783.035,4495367.87,1569.22644,1569.221,-0.00544,Unchanged,3.009999,160.139999,-0.9405,1.0239,-0.000799,2.38,5.889999,2.38,5.889999,4,Kim sandy loam 2 to 5 percent slope
42,East,10,SideNorthface,68,6.2104,1.33,0.06,0.584453782,13.5164,2.04,0.05,0.417382953,9.8634,1.685,0.055,0.500918367,11.949299,11.501104,28.532514,17.327639,-2.085899,-0.120379874,513803.987,4495460.064,1568.93457,1568.967,0.03243,Unchanged,2.609999,72.230003,0.3052,0.993399,0,3.509999,7.15,3.509999,7.15,4,Kim sandy loam 2 to 5 percent slope
43,East,10,SideNorthface,69,3.1756,1.04,0.07,0.65877551,8.5708,1.6,0.06,0.571092437,5.8732,1.32,0.065,0.614933974,9.708324,26.038285,25.360412,20.369007,-3.835124,-0.188282325,513774.972,4495495.814,1569.384521,1569.553,0.168479,Deposited,3.619999,84.739997,0.0917,0.9976,-0.0012,3.68,7,3.68,7,4,Kim sandy loam 2 to 5 percent slope
44,East,10,SideSouthface,70,7.3344,1.63,0.07,0.749519808,12.7296,1.87,0.04,0.341836735,10.032,1.75,0.055,0.545678271,13.04804,7.467349,7.826012,9.447133667,-3.01604,-0.319254507,513750.752,4495391.097,1570.085571,1570.177,0.091429,Deposited,2.849999,95.720001,-0.099699,1.002699,-0.002,2.539999,6.09,2.539999,6.09,4,Kim sandy loam 2 to 5 percent slope
45,East,10,SideSouthface,71,3.4004,0.99,0.06,0.581788715,1.1524,0.54,0.05,0.401656663,2.2764,0.765,0.055,0.491722689,0.461564,0.198548,2.089009,0.916373667,1.814836,1.980454116,513729.58,4495296.746,1568.071166,1568.033,-0.038166,Unchanged,4.01,187.309997,-0.9919,1.0333,0.003599,3.68,6.9,3.68,6.9,5,Kim sandy loam 5 to 9 percent slope
46,East,10,Toe,72,2.164,0.91,0.07,0.650216086,3.85,0.92,0.51,0.457815126,3.007,0.915,0.29,0.554015606,5.57164,5.10818,3.35474,4.678186667,-2.56464,-0.548212413,513713.914,4495227.205,1567.936157,1568.016,0.079843,Deposited,2.7,46.560001,0.6876,0.984099,0.005599,7.449999,11.06,7.539999,11.149999,5,Kim sandy loam 5 to 9 percent slope
47,East,10,SideNorthface,73,4.8616,1.25,0.08,0.66637455,12.9544,2.03,0.05,0.47484994,8.908,1.64,0.065,0.570612245,3.149224,7.25383,9.403295,6.602116333,5.758776,0.872262122,513691.182,4495131.923,1571.246826,1571.396,0.149174,Deposited,4.5,34.069999,0.8284,0.967599,0.001599,5.05,8.159999,5.05,8.159999,2,Wagonwheel loam 2 to 5 percent slope
48,East,10,SideNorthface,74,9.6948,1.79,0.07,0.626158463,12.28,1.81,0.04,0.335810324,10.9874,1.8,0.055,0.480984394,14.262955,6.1729,7.646627,9.360827333,-3.275555,-0.349921528,513668.861,4495034.605,1577.076171,1577.262,0.185829,Deposited,7.94,42.310001,0.739499,0.949299,-0.002,5.32,7.849999,5.32,7.849999,3,Colby loam 5 to 9 percent slope
49,East,10,Summit,75,5.1988,1.17,0.06,0.545894358,7.784,1.28,0.04,0.345546218,6.4914,1.225,0.05,0.445720288,6.510932,7.721105,7.650668,7.294235,-0.019532,-0.002677731,513646.965,4494935.935,1582.861694,1582.908,0.046306,Unchanged,2.71,61.729999,0.4736,0.989099,-0.002799,2.579999,6.19,2.579999,6.19,2,Wagonwheel loam 2 to 5 percent slope
50,East,10,Summit,76,7.1096,1.4,0.07,0.546506603,15.4272,2.06,0.05,0.207995198,11.2684,1.73,0.06,0.3772509,9.349768,9.05342,8.811934,9.071707333,1.918632,0.211496241,513630.849,4494864.268,1583.937866,1583.973,0.035134,Unchanged,2.279999,59.479999,0.507799,0.990199,-0.002799,2.94,6.719999,2.94,6.719999,1,Wagonwheel loam 0 to 2 percent slope
51,East,10,SideNorthface,77,7.8964,1.58,0.08,0.632052821,8.0088,1.18,0.04,0.218559424,7.9526,1.38,0.06,0.425306122,9.260129,5.67852,4.169815,6.369488,-1.307529,-0.205280079,513613.262,4494790.01,1584.526123,1584.519,-0.007123,Unchanged,1.809999,63.400001,0.4478,0.993099,0.0012,3.97,7.989999,4.409999,8.43,2,Wagonwheel loam 2 to 5 percent slope
52,West,9,Summit,78,7.8964,1.59,0.08,0.642052821,14.528,2.17,0.05,0.425942377,11.2122,1.88,0.065,0.533997599,5.136528,9.30984,4.684868,6.377078667,6.075672,0.952735934,513523.8,4494778.969,1585.116821,1585.141,0.024179,Unchanged,0.949999,222,-0.743099,1.006,-0.001599,1.61,6.269999,1.61,6.269999,2,Wagonwheel loam 2 to 5 percent slope
53,West,9,Summit,80,1.4896,0.87,0.09,0.691176471,0.5904,0.56,0.07,0.489123649,1.04,0.715,0.08,0.59015006,0.565146,12.576772,11.142548,8.094822,0.474854,0.05866145,513541.404,4494878.197,1584.748657,1584.811,0.062343,Deposited,0.639999,60.380001,0.494199,0.9973,0,1.61,6.659999,1.61,6.659999,1,Wagonwheel loam 0 to 2 percent slope
54,West,9,Summit,82,7.4468,1.48,0.08,0.586026411,11.6056,1.78,0.05,0.386770708,9.5262,1.63,0.065,0.486398559,9.618685,8.37529,6.212403,8.068792667,-0.092485,-0.011462062,513565.896,4494979.69,1583.145507,1583.398,0.252493,Deposited,3.819999,43.549999,0.724799,0.976199,0.000399,3.779999,7.039999,3.779999,7.039999,2,Wagonwheel loam 2 to 5 percent slope
55,West,9,SideNorthface,84,4.974,1.2,0.08,0.602881152,8.4584,1.32,0.05,0.304585834,6.7162,1.26,0.065,0.453733493,7.646627,12.487133,12.487133,10.873631,-0.930427,-0.085567277,513587.274,4495073.988,1577.887207,1577.963,0.075793,Deposited,7.44,43.86,0.721,0.9538,0.003199,4.53,7.13,4.53,7.13,3,Colby loam 5 to 9 percent slope
56,West,9,SideNorthface,86,0.5904,0.66,0.07,0.589123649,0.2532,0.6,0.07,0.569603842,0.4218,0.63,0.07,0.579363745,0.385868,9.17049,9.403295,6.319884333,0.035932,0.005685547,513605.844,4495164.55,1572.365356,1572.655,0.289644,Deposited,4.13,53.009998,0.6017,0.978799,-0.000399,5.139999,8.319999,5.139999,8.319999,2,Wagonwheel loam 2 to 5 percent slope
57,West,9,Toe,88,4.1872,0.8,0.04,0.297334934,4.5244,0.79,0.03,0.246854742,4.3558,0.795,0.035,0.272094838,3.235265,1.951988,2.487625,2.558292667,1.120535,0.438001099,513626.51,4495266.605,1569.280517,1569.178,-0.102517,Eroded,5.179999,51.580001,0.621399,0.972599,0.0092,10.75,13.71,11.09,14.05,2,Wagonwheel loam 2 to 5 percent slope
58,West,9,SideSouthface,90,0.478,0.71,0.08,0.652617047,0.1408,0.65,0.08,0.633097239,0.3094,0.68,0.08,0.642857143,0,0,4.74916,1.583053333,0.3094,0.195445089,513645.157,4495357.07,1570.663085,1570.735,0.071915,Deposited,2.97,147.889999,-0.847,1.021299,0.0012,4.96,8.47,4.96,8.47,4,Kim sandy loam 2 to 5 percent slope
59,West,9,SideSouthface,92,2.3888,0.91,0.07,0.623229292,4.6368,0.99,0.06,0.433361345,3.5128,0.95,0.065,0.528295318,1.57364,8.094822,4.240345,4.636269,1.93916,0.418258733,513666.241,4495457.067,1572.314575,1572.469,0.154425,Deposited,3.519999,97.870002,-0.136899,1.0046,0.0012,4.449999,7.789999,4.449999,7.789999,4,Kim sandy loam 2 to 5 percent slope
60,West,9,SideNorthface,94,0.5904,0.61,0.07,0.539123649,6.2104,1.42,0.09,0.674453782,3.4004,1.015,0.08,0.606788715,1.179255,17.732948,47.43948,22.11722767,2.221145,0.100426013,513643.508,4495519.744,1573.501708,1573.554,0.052292,Deposited,4.039999,84.400001,0.097599,0.9972,-0.000799,4.329999,7.539999,4.329999,7.539999,4,Kim sandy loam 2 to 5 percent slope
61,West,9,SideSouthface,96,4.1872,1.1,0.08,0.597334934,9.6948,1.63,0.07,0.466158463,6.941,1.365,0.075,0.531746699,11.75702,10.873631,3.600884,8.743845,-4.81602,-0.550789727,513623.549,4495420.812,1573.315551,1573.314,-0.001551,Unchanged,3.24,166.960006,-0.9742,1.0266,-0.002799,2.43,5.86,2.43,5.86,4,Kim sandy loam 2 to 5 percent slope
62,West,9,SideSouthface,98,1.2648,0.84,0.07,0.688163265,1.1524,0.71,0.07,0.571656663,1.2086,0.775,0.07,0.629909964,0.20659,11.142548,10.335797,7.228311667,1.00201,0.138622966,513602.079,4495320.605,1570.904052,1570.958,0.053948,Deposited,2.2,139.699996,-0.7627,1.014299,0.001599,5.07,8.89,5.07,8.89,4,Kim sandy loam 2 to 5 percent slope
63,West,9,Toe,100,0.7028,0.72,0.07,0.635630252,0.1408,0.57,0.06,0.553097239,0.4218,0.645,0.065,0.594363745,0,0,12.206945,4.068981667,0.4218,0.1036623,513587.466,4495250.971,1570.663208,1570.799,0.135792,Deposited,2.74,50.159999,0.6406,0.985,0.000399,5.739999,9.34,5.929999,9.52,2,Wagonwheel loam 2 to 5 percent slope
64,West,9,SideNorthface,102,0.8152,0.71,0.07,0.612136855,2.3888,0.81,0.07,0.523229292,1.602,0.76,0.07,0.567683073,0,6.839876,13.67392,6.837932,1.602,0.234281359,513562.779,4495139.321,1574.909423,1575.143,0.233577,Deposited,6.09,40.25,0.763199,0.9598,0.002,4.679999,7.48,4.679999,7.48,3,Colby loam 5 to 9 percent slope
65,West,9,SideNorthface,104,5.536,1.1,0.05,0.435414166,9.9196,1.54,0.05,0.349171669,7.7278,1.32,0.05,0.392292917,3.79215,8.991212,4.7752,5.852854,3.93565,0.672432629,513542.616,4495035.968,1582.508544,1582.644,0.135456,Deposited,7.059999,51.729999,0.6194,0.962899,-0.002,3.95,6.599999,3.95,6.599999,2,Wagonwheel loam 2 to 5 percent slope
66,West,9,Summit,106,0,0.71,0.07,0.71,0.7028,0.59,0.06,0.505630252,0.3514,0.65,0.065,0.607815126,0,7.665824,12.52972,6.731848,0.3514,0.052199634,513521.727,4494941.418,1584.582153,1584.636,0.053847,Deposited,0.469999,71.800003,0.312299,0.9987,0.0024,5.539999,10.909999,7.01,12.38,1,Wagonwheel loam 0 to 2 percent slope
67,West,9,Summit,108,2.726,0.95,0.07,0.6227491,11.718,2.02,0.07,0.613277311,7.222,1.485,0.07,0.618013205,6.48132,13.024967,5.497856,8.334714333,0.74068,0.088866873,513501.472,4494842.521,1585.004516,1585.078,0.073484,Deposited,0.699999,299.75,0.496199,0.996999,-0.002799,1.61,6.57,1.61,6.57,1,Wagonwheel loam 0 to 2 percent slope
68,East,8,Summit,110,8.2336,1.63,0.08,0.641572629,11.2684,1.82,0.06,0.4672509,9.751,1.725,0.07,0.554411765,8.43395,8.61506,5.949516,7.666175333,1.31705,0.171800141,513408.872,4494770.281,1583.899658,1583.815,-0.084658,Eroded,1.289999,216.309997,-0.8058,1.0089,0.003199,4.579999,8.939999,4.579999,8.939999,2,Wagonwheel loam 2 to 5 percent slope
